,name,company,Price,kms_driven,fuel_type,Age
0,Hyundai Santro Xing XO eRLX Euro III,Hyundai,80000,45000,Petrol,16
1,Mahindra Jeep CL550 MDI,Mahindra,425000,40,Diesel,17
3,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,325000,28000,Petrol,9
4,Ford EcoSport Titanium 1.5L TDCi,Ford,575000,36000,Diesel,9
6,Ford Figo,Ford,175000,41000,Diesel,11
7,Hyundai Eon,Hyundai,190000,25000,Petrol,10
8,Ford EcoSport Ambiente 1.5L TDCi,Ford,830000,24530,Diesel,7
9,Maruti Suzuki Alto K10 VXi AMT,Maruti,250000,60000,Petrol,8
10,Skoda Fabia Classic 1.2 MPI,Skoda,182000,60000,Petrol,13
11,Maruti Suzuki Stingray VXi,Maruti,315000,30000,Petrol,8
12,Hyundai Elite i20 Magna 1.2,Hyundai,415000,32000,Petrol,9
13,Mahindra Scorpio SLE BS IV,Mahindra,320000,48660,Diesel,8
14,Hyundai Santro Xing XO eRLX Euro III,Hyundai,80000,45000,Petrol,16
15,Mahindra Jeep CL550 MDI,Mahindra,425000,40,Diesel,17
16,Audi A8,Audi,1000000,4000,Petrol,6
17,Audi Q7,Audi,500000,16934,Diesel,9
18,Mahindra Scorpio S10,Mahindra,350000,43000,Diesel,7
19,Maruti Suzuki Alto 800,Maruti,160000,35550,Petrol,9
20,Mahindra Scorpio S10,Mahindra,350000,43000,Diesel,7
21,Mahindra Scorpio S10,Mahindra,310000,39522,Diesel,7
22,Maruti Suzuki Alto 800 Vxi,Maruti,75000,39000,Petrol,8
23,Hyundai i20 Sportz 1.2,Hyundai,100000,55000,Petrol,11
24,Hyundai i20 Sportz 1.2,Hyundai,100000,55000,Petrol,11
25,Hyundai i20 Sportz 1.2,Hyundai,100000,55000,Petrol,11
26,Maruti Suzuki Alto 800 Lx,Maruti,190000,72000,Petrol,6
27,Maruti Suzuki Vitara Brezza ZDi,Maruti,290000,15975,Diesel,7
28,Maruti Suzuki Alto LX,Maruti,95000,70000,Petrol,15
29,Mahindra Bolero DI,Mahindra,180000,23452,Diesel,6
30,Maruti Suzuki Swift Dzire ZDi,Maruti,385000,35522,Diesel,9
31,Mahindra Scorpio S10 4WD,Mahindra,250000,48508,Diesel,8
32,Maruti Suzuki Swift Vdi BSIII,Maruti,180000,15487,Petrol,6
33,Maruti Suzuki Wagon R VXi BS III,Maruti,105000,39000,Petrol,10
34,Maruti Suzuki Wagon R VXi Minor,Maruti,105000,39000,Petrol,10
35,Toyota Innova 2.0 G 8 STR BS IV,Toyota,650000,82000,Diesel,11
36,Renault Lodgy 85 PS RXL,Renault,689999,20000,Diesel,5
37,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,448000,68000,Diesel,11
38,Maruti Suzuki Baleno Delta 1.2,Maruti,549000,32000,Diesel,6
39,Renault Duster 110 PS RxZ Diesel Plus,Renault,501000,38000,Diesel,11
40,Renault Duster 85 PS RxE Diesel,Renault,489999,27000,Diesel,10
41,Honda City 1.5 S MT,Honda,280000,33000,Petrol,12
42,Maruti Suzuki Alto K10 VXi AMT,Maruti,250000,60000,Petrol,8
43,Maruti Suzuki Dzire,Maruti,349999,46000,Diesel,10
44,Honda Amaze,Honda,284999,46000,Diesel,10
45,Honda Amaze 1.5 SX i DTEC,Honda,345000,36000,Diesel,8
46,Honda City,Honda,499999,55000,Petrol,8
47,Datsun Redi GO S,Datsun,235000,16000,Petrol,6
48,Maruti Suzuki SX4 ZXI MT,Maruti,249999,36000,Petrol,13
49,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,1475000,47000,Diesel,8
50,Mahindra Bolero DI,Mahindra,180000,23452,Diesel,6
51,Maruti Suzuki Swift Dzire ZDi,Maruti,385000,35522,Diesel,9
52,Mahindra Scorpio S10 4WD,Mahindra,250000,48508,Diesel,8
53,Maruti Suzuki Swift Vdi BSIII,Maruti,180000,15487,Petrol,6
54,Maruti Suzuki Wagon R VXi BS III,Maruti,105000,39000,Petrol,10
55,Maruti Suzuki Wagon R VXi Minor,Maruti,105000,39000,Petrol,10
56,Mahindra Scorpio S10,Mahindra,395000,35000,Diesel,8
57,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,220000,30874,Petrol,6
58,Honda City ZX CVT,Honda,170000,15000,Diesel,6
59,Maruti Suzuki Wagon R LX BS IV,Maruti,85000,29685,Petrol,10
60,Ford Figo,Ford,175000,41000,Diesel,11
61,Hyundai Eon,Hyundai,190000,25000,Petrol,10
62,Tata Indigo eCS LS CR4 BS IV,Tata,200000,130000,Diesel,6
63,Ford EcoSport Ambiente 1.5L TDCi,Ford,830000,24530,Diesel,7
64,Tata Indigo eCS LS CR4 BS IV,Tata,200000,130000,Diesel,6
65,Mahindra Scorpio SLE BS IV,Mahindra,570000,19000,Diesel,11
66,Volkswagen Polo Highline Exquisite P,Volkswagen,315000,60000,Petrol,9
67,Skoda Fabia Classic 1.2 MPI,Skoda,182000,60000,Petrol,13
68,Maruti Suzuki Stingray VXi,Maruti,315000,30000,Petrol,8
70,Chevrolet Spark LS 1.0,Chevrolet,110000,41000,Petrol,13
71,Renault Duster 110PS Diesel RxZ,Renault,501000,35000,Diesel,11
72,Honda City,Honda,448999,54000,Petrol,8
73,Mini Cooper S 1.6,Mini,1891111,13000,Petrol,10
74,Datsun Redi GO S,Datsun,235000,16000,Petrol,6
75,Skoda Fabia 1.2L Diesel Ambiente,Skoda,159500,38200,Diesel,12
76,Honda Amaze,Honda,344999,22000,Petrol,8
77,Honda Amaze,Honda,344999,22000,Petrol,8
78,Renault Duster,Renault,449999,50000,Diesel,9
79,Mini Cooper S 1.6,Mini,1891111,13500,Petrol,10
80,Mahindra Scorpio S4,Mahindra,865000,30000,Diesel,8
81,Mahindra Scorpio VLX 2WD BS IV,Mahindra,699000,50000,Diesel,9
82,Mahindra Quanto C8,Mahindra,375000,20000,Diesel,10
83,Ford EcoSport,Ford,489999,39000,Petrol,6
84,Honda Brio,Honda,224999,30000,Petrol,11
86,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,1200000,3600,Diesel,4
87,Hyundai i20 Magna,Hyundai,195000,32000,Petrol,14
88,Toyota Corolla Altis Diesel D4DG,Toyota,351000,38000,Diesel,13
89,Hyundai Verna Transform SX VTVT,Hyundai,160000,45000,Petrol,15
90,Toyota Corolla Altis Petrol Ltd,Toyota,240000,35000,Petrol,14
91,Honda City 1.5 EXi New,Honda,90000,50000,Petrol,18
92,Hyundai Elite i20 Magna 1.2,Hyundai,415000,32000,Petrol,9
93,Skoda Fabia 1.2L Diesel Elegance,Skoda,155000,45863,Diesel,12
94,BMW 3 Series 320i,BMW,600000,60500,Petrol,12
95,Maruti Suzuki A Star Lxi,Maruti,189500,12500,Petrol,12
96,Toyota Etios GD,Toyota,350000,60000,Diesel,10
97,Ford Figo Diesel EXI Option,Ford,210000,35000,Diesel,11
98,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,390000,35000,Petrol,9
99,Chevrolet Beat LT Diesel,Chevrolet,135000,45000,Diesel,11
100,BMW 7 Series 740Li Sedan,BMW,1600000,35000,Petrol,14
101,Mahindra XUV500 W8 AWD 2013,Mahindra,701000,38000,Diesel,10
102,Hyundai i10 Magna 1.2,Hyundai,265000,18000,Petrol,9
103,Hyundai Verna Fluidic New,Hyundai,525000,35000,Diesel,8
104,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,372000,13349,Petrol,10
105,Maruti Suzuki Ertiga ZXI Plus,Maruti,635000,29000,Petrol,7
106,Ford EcoSport Titanium 1.5L TDCi,Ford,550000,44000,Diesel,9
107,Maruti Suzuki Ertiga Vxi,Maruti,575000,29000,Petrol,7
108,Maruti Suzuki Ertiga VDi,Maruti,485000,42000,Diesel,10
109,Maruti Suzuki Alto LXi BS III,Maruti,155000,14000,Petrol,11
110,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,345000,49000,Diesel,9
111,Honda Amaze 1.2 S i VTEC,Honda,325000,42000,Petrol,9
112,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,329500,36200,Diesel,11
113,Ford Figo Diesel EXI,Ford,195000,50000,Diesel,9
114,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,251111,55000,Petrol,8
115,Maruti Suzuki Ertiga ZXi,Maruti,569999,45000,Petrol,9
116,Maruti Suzuki Esteem LXi BS III,Maruti,69999,51000,Petrol,16
117,Maruti Suzuki Ritz VXI,Maruti,299999,19000,Petrol,9
118,Maruti Suzuki Dzire,Maruti,220000,46000,Petrol,14
119,Maruti Suzuki Ritz LDi,Maruti,399999,33000,Diesel,10
120,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,372000,13349,Petrol,10
121,Maruti Suzuki Dzire VDI,Maruti,450000,104000,Diesel,8
122,Toyota Etios Liva G,Toyota,270000,55000,Petrol,9
123,Hyundai i20 Sportz 1.4 CRDI,Hyundai,350000,33333,Diesel,12
124,Chevrolet Spark,Chevrolet,158400,33600,Petrol,11
125,Maruti Suzuki Alto K10 VXi AMT,Maruti,350000,5600,Petrol,6
126,Nissan Micra XV,Nissan,179000,41000,Petrol,12
127,Maruti Suzuki Swift,Maruti,125000,70000,Petrol,16
128,Maruti Suzuki Alto 800,Maruti,200000,7500,Petrol,5
129,Honda Amaze 1.5 S i DTEC,Honda,299000,45000,Diesel,10
130,Maruti Suzuki Alto 800 Vxi,Maruti,220000,38000,Petrol,8
131,Chevrolet Beat,Chevrolet,150000,30000,Petrol,8
133,Honda City 1.5 V MT,Honda,285000,35000,Petrol,13
134,Ford EcoSport Trend 1.5L TDCi,Ford,830000,24330,Diesel,7
135,Hyundai i20 Asta 1.2,Hyundai,210000,65480,Petrol,14
136,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,340000,41000,Petrol,10
137,Tata Indica V2 eLS,Tata,90000,20000,Petrol,17
139,Hindustan Motors Ambassador,Hindustan,70000,200000,Diesel,23
140,Toyota Corolla Altis 1.8 GL,Toyota,289999,70000,Petrol,13
141,Toyota Corolla Altis 1.8 J,Toyota,349999,59000,Petrol,11
142,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,849999,99000,Diesel,11
143,Volkswagen Jetta Highline TDI AT,Volkswagen,749999,46000,Diesel,9
144,Volkswagen Polo Comfortline 1.2L P,Volkswagen,399999,2800,Petrol,8
145,Volkswagen Polo,Volkswagen,274999,32000,Petrol,9
146,Mahindra Scorpio,Mahindra,984999,22000,Diesel,8
147,Renault Duster,Renault,449999,50000,Diesel,9
148,Honda Amaze,Honda,344999,22000,Petrol,8
149,Nissan Sunny,Nissan,224999,45000,Petrol,11
150,Hyundai Elite i20,Hyundai,599999,21000,Petrol,5
151,Renault Kwid,Renault,244999,11000,Petrol,7
152,Renault Duster,Renault,399999,41000,Diesel,10
153,Ford EcoSport,Ford,489999,39000,Petrol,6
154,Renault Duster,Renault,474999,50000,Diesel,9
155,Mahindra Scorpio VLX Airbag,Mahindra,499999,66000,Diesel,12
156,Maruti Suzuki Alto 800 Lxi,Maruti,310000,3000,Petrol,5
157,Chevrolet Spark LT 1.0,Chevrolet,85000,45000,Petrol,13
158,Datsun Redi GO T O,Datsun,245000,7000,Petrol,7
159,Maruti Suzuki Swift RS VDI,Maruti,189500,38500,Diesel,13
160,Fiat Punto Emotion 1.2,Fiat,169500,37200,Diesel,11
161,Maruti Suzuki Swift RS VDI,Maruti,159500,43200,Diesel,13
162,Toyota Etios GD,Toyota,275000,24800,Petrol,10
163,Hyundai i20 Sportz 1.4 CRDI,Hyundai,370000,60000,Diesel,9
164,Hyundai i10 Sportz 1.2,Hyundai,168000,45872,Petrol,13
165,Chevrolet Beat LT Opt Diesel,Chevrolet,150000,40000,Diesel,12
166,Chevrolet Beat LS Diesel,Chevrolet,145000,45000,Diesel,12
167,Chevrolet Beat LT Diesel,Chevrolet,98500,38000,Diesel,11
168,Mahindra Scorpio VLX 2WD BS IV,Mahindra,699000,50000,Diesel,9
169,Tata Indigo CS,Tata,85000,11400,Diesel,12
170,Toyota Corolla Altis 1.8 J,Toyota,575000,42000,Petrol,8
171,Honda City 1.5 V MT,Honda,549000,39000,Petrol,9
172,Maruti Suzuki Swift VDi,Maruti,209000,47000,Diesel,12
173,Hyundai Eon Era Plus,Hyundai,185000,27000,Petrol,10
174,Mahindra Scorpio S10,Mahindra,900000,97200,Diesel,8
175,Mahindra XUV500,Mahindra,699999,52000,Diesel,9
176,Honda Brio,Honda,224999,30000,Petrol,11
177,Ford Fiesta,Ford,274999,55000,Diesel,12
178,Honda Amaze,Honda,284999,46000,Diesel,10
179,Honda City,Honda,599999,30000,Diesel,8
180,Maruti Suzuki Wagon R,Maruti,199999,44000,Petrol,11
181,Honda City,Honda,544999,45000,Diesel,9
182,Hyundai i20,Hyundai,199000,31000,Petrol,14
183,Tata Indigo eCS LX TDI BS III,Tata,320000,175430,Diesel,7
184,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,540000,38000,Diesel,8
186,Mahindra Quanto C8,Mahindra,340000,37000,Diesel,10
187,Fiat Petra ELX 1.2 PS,Fiat,75000,65000,Petrol,15
188,Skoda Fabia 1.2L Diesel Ambiente,Skoda,159500,38200,Diesel,12
189,Mini Cooper S 1.6,Mini,1891111,13000,Petrol,10
190,Hyundai Santro Xing XS,Hyundai,49000,7500,Petrol,18
191,Maruti Suzuki Ciaz VXi Plus,Maruti,700000,3350,Petrol,7
192,Maruti Suzuki Zen VX,Maruti,55000,60000,Petrol,23
193,Honda City,Honda,448999,54000,Petrol,8
194,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,895000,32000,Petrol,6
196,Mahindra Scorpio SLX,Mahindra,355000,75000,Diesel,16
197,Mahindra Scorpio SLE BS IV,Mahindra,565000,62000,Diesel,11
198,Toyota Innova 2.5 G BS III 8 STR,Toyota,365000,73000,Diesel,17
199,Maruti Suzuki Alto K10 VXi AMT,Maruti,145000,41000,Petrol,12
200,Maruti Suzuki Wagon R LXI BS IV,Maruti,210000,35000,Petrol,12
201,Tata Nano Cx BSIV,Tata,40000,2200,Petrol,10
202,Maruti Suzuki Alto Std BS IV,Maruti,125000,39000,Petrol,10
203,Maruti Suzuki Wagon R LXi BS III,Maruti,135000,45000,Petrol,14
204,Maruti Suzuki Swift VXI BSIII,Maruti,135000,45000,Petrol,17
205,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,285000,65000,Diesel,11
207,Maruti Suzuki Wagon R LXi BS III,Maruti,145000,54870,Petrol,13
208,Maruti Suzuki Alto LXi BS III,Maruti,135000,34580,Petrol,13
209,Volkswagen Passat Diesel Comfortline AT,Volkswagen,450000,97000,Diesel,14
210,Renault Scala RxL Diesel Travelogue,Renault,375000,25000,Diesel,8
211,Mahindra Quanto C8,Mahindra,375000,20000,Diesel,10
212,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,365000,20000,Petrol,9
213,Hyundai i20 Active 1.2 SX,Hyundai,500000,18000,Petrol,8
214,Mahindra Xylo E4,Mahindra,400000,35000,Diesel,11
215,Mahindra Jeep MM 550 XDB,Mahindra,390000,60,Diesel,4
216,Renault Duster 110PS Diesel RxZ,Renault,501000,35000,Diesel,11
217,Mahindra Bolero SLE BS IV,Mahindra,330000,80200,Diesel,10
218,Force Motors Force One LX ABS 7 STR,Force,580000,3200,Diesel,8
219,Maruti Suzuki SX4,Maruti,265000,46000,Diesel,11
220,Mahindra Jeep CL550 MDI,Mahindra,379000,0,Diesel,4
221,Maruti Suzuki Alto 800,Maruti,219000,5000,Petrol,8
222,Mahindra Jeep CL550 MDI,Mahindra,385000,588,Diesel,5
223,Toyota Etios,Toyota,275000,36000,Diesel,12
224,Volkswagen Polo,Volkswagen,330000,38000,Diesel,8
225,Honda City ZX VTEC,Honda,110000,45000,Petrol,15
226,Maruti Suzuki Wagon R LX BS III,Maruti,80000,71200,Petrol,17
227,Honda City VX O MT Diesel,Honda,519000,52000,Diesel,7
228,Mahindra Thar CRDe 4x4 AC,Mahindra,730000,29000,Diesel,7
229,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,1475000,47000,Diesel,8
230,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,699000,47000,Petrol,14
231,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2000000,20000,Diesel,8
232,Land Rover Freelander 2 SE,Land,2100000,30000,Diesel,8
233,Renault Kwid RXT,Renault,340000,5000,Petrol,6
234,Tata Aria Pleasure 4X2,Tata,390000,35000,Diesel,9
235,Mercedes Benz B Class B180 Sports,Mercedes,1400000,31000,Petrol,9
236,Datsun GO T O,Datsun,245000,7000,Petrol,7
237,Tata Indigo eCS LX TDI BS III,Tata,320000,175430,Diesel,7
238,Tata Indigo eCS LX TDI BS III,Tata,320000,175400,Diesel,7
239,Honda Jazz VX MT,Honda,450000,41000,Petrol,7
240,Honda Amaze 1.2 S i VTEC,Honda,311000,33000,Petrol,9
241,Honda Amaze,Honda,284999,46000,Diesel,10
242,Honda City,Honda,399999,45000,Petrol,11
243,Honda City,Honda,599999,39000,Diesel,8
244,Honda Amaze,Honda,344999,22000,Petrol,8
245,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,699000,47000,Petrol,14
246,Force Motors Force One LX ABS 7 STR,Force,580000,3200,Diesel,8
247,Mahindra Scorpio S4,Mahindra,855000,30000,Diesel,8
248,Hyundai i20 Active 1.4L SX O,Hyundai,535000,37000,Diesel,8
249,Mini Cooper S,Mini,1891111,13000,Petrol,10
250,Maruti Suzuki Ciaz ZXI Plus,Maruti,699000,14000,Petrol,6
251,Chevrolet Tavera Neo,Chevrolet,375000,55000,Diesel,10
252,Honda Amaze,Honda,284999,46000,Diesel,10
253,Hyundai Eon Sportz,Hyundai,178000,30000,Petrol,11
254,Tata Sumo Gold Select Variant,Tata,300000,50000,Diesel,10
255,Maruti Suzuki Wagon R 1.0,Maruti,90000,45000,Petrol,20
256,Maruti Suzuki Esteem VXi BS III,Maruti,95000,45000,Petrol,17
257,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,255000,9300,Petrol,8
258,Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,245000,55000,Diesel,10
259,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,329500,36200,Diesel,11
260,Ford Figo Diesel EXI,Ford,195000,50000,Diesel,9
261,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,251111,55000,Petrol,8
262,Maruti Suzuki Ertiga ZXi,Maruti,569999,45000,Petrol,9
263,Maruti Suzuki Esteem LXi BS III,Maruti,69999,51000,Petrol,16
264,Maruti Suzuki Ritz VXI,Maruti,299999,19000,Petrol,9
265,Maruti Suzuki Dzire,Maruti,220000,46000,Petrol,14
266,Maruti Suzuki Ritz LDi,Maruti,399999,33000,Diesel,10
267,Maruti Suzuki SX4 ZXI MT,Maruti,249999,36000,Petrol,13
268,Maruti Suzuki Wagon R 1.0 VXi,Maruti,289999,22000,Petrol,8
269,Mini Cooper S 1.6,Mini,1891111,13500,Petrol,10
270,Nissan Terrano XL D Plus,Nissan,499999,60000,Diesel,8
271,Renault Duster 85 PS RxE Diesel,Renault,489999,27000,Diesel,10
272,Renault Duster 85 PS RxE Diesel,Renault,489999,59000,Diesel,9
273,Renault Duster 85 PS RxL Diesel,Renault,549999,19000,Diesel,8
274,Maruti Suzuki Dzire ZXI,Maruti,380000,30000,Petrol,10
275,Renault Kwid RXT Opt,Renault,325000,15000,Petrol,5
276,Maruti Suzuki Maruti 800 Std,Maruti,57000,56758,Petrol,20
277,Renault Kwid 1.0 RXT AMT,Renault,349999,10000,Petrol,5
278,Renault Lodgy 85 PS RXL,Renault,689999,20000,Diesel,5
279,Renault Scala RxL Diesel,Renault,349999,49000,Diesel,9
280,Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,410000,41000,Petrol,9
281,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,225000,45000,Petrol,12
282,Chevrolet Beat LS Petrol,Chevrolet,120000,43000,Petrol,13
283,Tata Indigo eCS LX TDI BS III,Tata,320000,175430,Diesel,7
284,Hyundai Santro Xing XO eRLX Euro III,Hyundai,59000,56450,Petrol,23
285,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,540000,38000,Diesel,8
287,Chevrolet Beat LS Petrol,Chevrolet,80000,56000,Petrol,13
288,Mahindra Quanto C8,Mahindra,340000,37000,Diesel,10
289,Fiat Petra ELX 1.2 PS,Fiat,75000,65000,Petrol,15
290,Chevrolet Beat LS Petrol,Chevrolet,220000,32700,Petrol,8
291,Skoda Fabia 1.2L Diesel Ambiente,Skoda,159500,38200,Diesel,12
292,Ford EcoSport Titanium 1.5L TDCi,Ford,599000,30000,Diesel,7
293,Hyundai Accent GLX,Hyundai,80000,56000,Petrol,17
296,Mahindra TUV300 T4 Plus,Mahindra,675000,9000,Diesel,7
297,Mini Cooper S 1.6,Mini,1891111,13000,Petrol,10
298,Mini Cooper S 1.6,Mini,1891111,13000,Petrol,10
299,Tata Indica V2 Xeta e GLE,Tata,150000,11000,Petrol,15
300,Mini Cooper S,Mini,1891111,13000,Petrol,10
301,Tata Indigo CS LS DiCOR,Tata,72500,46000,Diesel,14
302,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,610000,73,Petrol,4
303,Mahindra Scorpio VLX Special Edition BS III,Mahindra,230000,160000,Diesel,19
305,Honda Accord,Honda,175000,58559,Petrol,14
306,Mahindra Scorpio S4,Mahindra,855000,30000,Diesel,8
307,Chevrolet Tavera Neo,Chevrolet,375000,55000,Diesel,10
308,Ford EcoSport Titanium 1.5 TDCi,Ford,520000,57000,Diesel,9
309,Maruti Suzuki Ertiga,Maruti,524999,50000,Diesel,8
310,Honda Amaze,Honda,299999,37000,Petrol,9
311,Maruti Suzuki Dzire,Maruti,299999,40000,Petrol,11
312,Honda City,Honda,284999,55000,Petrol,12
313,Mahindra Scorpio 2.6 CRDe,Mahindra,220000,170000,Diesel,16
314,Maruti Suzuki Dzire,Maruti,424999,55000,Diesel,9
315,Honda City,Honda,644999,39000,Petrol,8
316,Honda Mobilio,Honda,399999,44000,Petrol,9
317,Toyota Corolla Altis,Toyota,199999,65000,Petrol,14
318,Honda City,Honda,584999,39000,Petrol,9
319,Skoda Laura,Skoda,349999,44000,Diesel,11
320,Renault Duster,Renault,449999,49000,Diesel,8
321,Maruti Suzuki Ertiga,Maruti,799999,9000,Diesel,5
322,Maruti Suzuki Dzire,Maruti,444999,45000,Diesel,8
323,Mahindra XUV500,Mahindra,649999,47000,Diesel,9
324,Hyundai Verna Fluidic,Hyundai,444999,40000,Diesel,11
325,Maruti Suzuki Vitara Brezza,Maruti,689999,29000,Diesel,7
326,Maruti Suzuki Wagon R,Maruti,344999,15000,Petrol,7
327,Mahindra Scorpio,Mahindra,944999,45000,Diesel,8
328,Honda Amaze,Honda,274999,35000,Petrol,9
329,Mahindra XUV500,Mahindra,689999,80000,Diesel,10
330,Mahindra Scorpio,Mahindra,574999,68000,Diesel,10
331,Skoda Laura,Skoda,374999,50000,Diesel,10
332,Volkswagen Polo,Volkswagen,199999,60000,Diesel,13
333,Hyundai Elite i20,Hyundai,549999,9000,Petrol,7
334,Tata Manza Aura Quadrajet,Tata,130000,72000,Diesel,11
335,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,210000,60000,Petrol,10
336,Renault Duster 110 PS RxZ Diesel Plus,Renault,501000,38000,Diesel,11
337,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,401000,45000,Diesel,10
338,Audi A4 2.0 TDI 177bhp Premium,Audi,1350000,40000,Diesel,11
339,Hyundai Elantra SX,Hyundai,600000,20000,Petrol,10
340,Mahindra Scorpio VLX 4WD Airbag,Mahindra,610000,35000,Diesel,10
341,Mahindra KUV100 K8 D 6 STR,Mahindra,400000,20000,Diesel,7
342,Renault Scala RxL Diesel Travelogue,Renault,375000,25000,Diesel,8
343,Mahindra Quanto C8,Mahindra,375000,20000,Diesel,10
344,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,365000,20000,Petrol,9
345,Hyundai i20 Active 1.2 SX,Hyundai,500000,18000,Petrol,8
346,Mahindra Xylo E4,Mahindra,400000,35000,Diesel,11
347,Hyundai Grand i10,Hyundai,524999,6821,Petrol,6
348,Hyundai i20,Hyundai,449999,23000,Petrol,9
349,Hyundai Eon,Hyundai,174999,14000,Petrol,9
350,Hyundai i10,Hyundai,244999,38000,Petrol,11
351,Hyundai i20 Active,Hyundai,574999,35000,Diesel,8
352,Datsun Redi GO,Datsun,244999,22000,Petrol,6
353,Toyota Etios Liva,Toyota,239999,41000,Petrol,12
354,Hyundai Accent,Hyundai,99999,45000,Petrol,13
355,Hyundai Verna,Hyundai,489999,44000,Diesel,9
356,Maruti Suzuki Swift,Maruti,324999,45000,Diesel,10
357,Toyota Fortuner,Toyota,1074999,52000,Diesel,12
358,Hyundai i10 Sportz,Hyundai,230000,34000,Petrol,11
359,Mahindra Bolero Power Plus SLE,Mahindra,699000,1800,Diesel,5
361,Mahindra XUV500,Mahindra,1000000,15000,Diesel,8
362,Honda City 1.5 V MT Exclusive,Honda,240000,400000,Petrol,13
363,Chevrolet Spark LT 1.0 Airbag,Chevrolet,110000,44000,Petrol,14
364,Mahindra Jeep MM 550 XDB,Mahindra,390000,60,Diesel,4
365,Renault Duster 110PS Diesel RxZ,Renault,501000,35000,Diesel,11
366,Mahindra XUV500,Mahindra,1130000,72000,Diesel,7
367,Tata Indigo eCS VX CR4 BS IV,Tata,250000,40000,Diesel,9
369,Mahindra Bolero SLE BS IV,Mahindra,330000,80200,Diesel,10
370,Force Motors Force One LX ABS 7 STR,Force,580000,3200,Diesel,8
371,Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,340000,48000,Diesel,10
372,Tata Vista Quadrajet VX,Tata,120000,90000,Diesel,12
373,Maruti Suzuki Alto K10 VXi AT,Maruti,265000,12000,Petrol,8
374,Maruti Suzuki SX4,Maruti,265000,46000,Diesel,11
375,Maruti Suzuki Zen LXi BS III,Maruti,85000,69900,Petrol,20
376,Mahindra Jeep CL550 MDI,Mahindra,379000,0,Diesel,4
377,Hyundai i10 Magna 1.2,Hyundai,175000,45000,Petrol,12
378,Maruti Suzuki Alto 800,Maruti,219000,5000,Petrol,8
379,Maruti Suzuki Swift Dzire Tour LDi,Maruti,350000,166000,Diesel,7
380,Honda City ZX EXi,Honda,149000,42000,Petrol,15
381,Mahindra Jeep CL550 MDI,Mahindra,385000,588,Diesel,5
382,Mahindra Jeep MM 550 XDB,Mahindra,425000,122,Diesel,17
383,Chevrolet Beat Diesel,Chevrolet,150000,62000,Diesel,6
384,Honda City 1.5 S MT,Honda,225000,70000,Petrol,13
386,Hyundai Verna 1.4 VTVT,Hyundai,375000,36000,Petrol,9
387,Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,770000,0,Diesel,11
389,Maruti Suzuki Maruti 800 Std – Befo,Maruti,30000,55000,Petrol,28
390,Toyota Etios,Toyota,275000,36000,Diesel,12
391,Volkswagen Polo,Volkswagen,330000,38000,Diesel,8
392,Maruti Suzuki Swift,Maruti,335000,55000,Diesel,9
393,Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,450000,20000,Diesel,8
394,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,225000,40000,Petrol,11
